clothing_name,situation,color,gender,time,price
Shirt_111_White,Wedding,White,female,evening,5351
Jacket_481_Red,Work,Red,female,noon,3120
Blouse_749_Purple,Formal,Purple,unisex,noon,6569
Jeans_877_White,Formal,White,unisex,morning,5308
Blouse_953_Red,Work,Red,female,evening,5513
Jeans_536_White,Wedding,White,female,noon,8225
Shirt_476_Purple,Work,Purple,unisex,noon,9886
Jeans_906_Pink,Casual,Pink,unisex,night,6827
Jeans_233_Red,Party,Red,male,noon,7827
Pants_328_Purple,Casual,Purple,unisex,noon,7565
Shirt_541_White,Formal,White,female,morning,3113
Jacket_217_Green,Work,Green,unisex,morning,5993
Pants_116_Blue,Work,Blue,unisex,noon,6942
Pants_706_Red,Party,Red,female,noon,3427
Jeans_51_Yellow,Party,Yellow,unisex,evening,3915
Jacket_181_Black,Wedding,Black,unisex,noon,9232
Dress_555_Yellow,Wedding,Yellow,male,noon,1878
Shirt_911_Pink,Wedding,Pink,male,morning,3441
Jacket_318_Purple,Wedding,Purple,unisex,night,8292
Pants_548_Yellow,Formal,Yellow,female,evening,9395
Blouse_830_Yellow,Outdoor,Yellow,male,morning,3408
Blouse_554_Green,Casual,Green,male,noon,2288
Pants_859_Green,Work,Green,female,noon,2816
Pants_211_Red,Wedding,Red,female,morning,9675
Jeans_644_Green,Wedding,Green,male,noon,3848
Pants_206_Red,Casual,Red,female,noon,5059
Skirt_86_Green,Outdoor,Green,male,night,5046
Blouse_76_White,Party,White,unisex,evening,1629
Pants_853_White,Casual,White,female,evening,7662
Skirt_329_Green,Formal,Green,unisex,morning,1262
Jacket_18_Purple,Party,Purple,female,evening,9221
Dress_155_Green,Formal,Green,female,evening,2593
Jacket_294_Green,Formal,Green,male,morning,6462
T-shirt_853_Red,Work,Red,female,morning,5997
Jeans_223_Pink,Party,Pink,unisex,evening,4041
Dress_970_Red,Wedding,Red,male,noon,1264
Blouse_614_Purple,Work,Purple,male,night,8258
Blouse_920_Purple,Wedding,Purple,male,morning,2722
T-shirt_780_Purple,Casual,Purple,male,evening,1727
Pants_409_Purple,Casual,Purple,female,noon,4731
Jeans_913_White,Formal,White,unisex,night,2432
Dress_477_Yellow,Formal,Yellow,unisex,evening,5742
Pants_102_Pink,Formal,Pink,female,noon,1158
Shirt_238_Blue,Casual,Blue,unisex,morning,4575
Pants_496_Pink,Formal,Pink,male,night,6039
T-shirt_972_Red,Formal,Red,male,evening,3384
Blouse_910_Yellow,Outdoor,Yellow,female,night,6723
T-shirt_614_Black,Wedding,Black,unisex,evening,6747
Dress_515_Yellow,Outdoor,Yellow,male,night,1362
Blouse_538_Purple,Outdoor,Purple,male,evening,7878
Shirt_104_Purple,Party,Purple,female,evening,2327
Shirt_600_Blue,Formal,Blue,male,night,6159
Jacket_153_Pink,Formal,Pink,male,morning,3062
Pants_991_White,Outdoor,White,male,evening,7899
T-shirt_48_Pink,Work,Pink,unisex,morning,3168
Dress_791_Black,Wedding,Black,unisex,noon,6189
Blouse_632_Purple,Formal,Purple,female,evening,3867
Shirt_19_Red,Casual,Red,male,evening,2427
Shirt_264_Purple,Outdoor,Purple,male,noon,6346
Dress_757_Black,Outdoor,Black,male,evening,2863
Blouse_753_White,Wedding,White,male,evening,2676
T-shirt_899_Pink,Party,Pink,female,noon,7509
Shirt_84_Pink,Work,Pink,unisex,evening,8838
T-shirt_528_Blue,Formal,Blue,female,evening,9603
Shirt_885_Red,Party,Red,female,evening,1657
T-shirt_676_Red,Party,Red,male,morning,8245
Jacket_627_Green,Casual,Green,unisex,evening,3282
Jacket_58_Purple,Party,Purple,unisex,night,1283
Pants_316_Yellow,Casual,Yellow,unisex,morning,5734
T-shirt_622_Blue,Work,Blue,male,evening,9033
Blouse_982_Yellow,Casual,Yellow,female,night,4032
Jacket_634_Black,Party,Black,male,evening,8779
Jeans_741_Blue,Party,Blue,male,evening,1533
T-shirt_379_White,Outdoor,White,female,night,6733
Blouse_649_Pink,Work,Pink,unisex,night,2024
Dress_301_Green,Formal,Green,female,night,8938
Skirt_665_Blue,Wedding,Blue,female,morning,2671
Shirt_182_Pink,Wedding,Pink,male,noon,8264
Shirt_313_Blue,Casual,Blue,male,evening,4809
T-shirt_685_Red,Outdoor,Red,unisex,morning,1892
Skirt_695_Green,Party,Green,unisex,night,6175
Skirt_784_Black,Formal,Black,unisex,evening,9845
T-shirt_691_Red,Formal,Red,unisex,morning,2720
Skirt_807_Black,Wedding,Black,female,evening,2539
Jeans_716_Purple,Casual,Purple,female,evening,5896
Jacket_531_White,Work,White,unisex,morning,2587
Blouse_693_Blue,Party,Blue,female,noon,6821
Dress_81_White,Casual,White,female,noon,4873
Pants_963_Green,Casual,Green,unisex,night,7770
Dress_182_Blue,Outdoor,Blue,female,morning,6554
Jacket_134_White,Outdoor,White,unisex,noon,5486
Dress_340_Yellow,Party,Yellow,female,evening,9517
Pants_325_Yellow,Work,Yellow,male,morning,6445
Pants_974_Purple,Casual,Purple,male,morning,3154
Jacket_488_Pink,Wedding,Pink,male,night,6335
Jeans_613_Pink,Work,Pink,male,noon,4965
Jeans_149_Blue,Formal,Blue,unisex,night,3058
Jeans_782_Blue,Wedding,Blue,unisex,night,5306
Jeans_646_Pink,Formal,Pink,unisex,evening,1543
Jeans_153_Red,Outdoor,Red,unisex,night,7901
Jacket_960_Black,Wedding,Black,unisex,noon,4119
Skirt_456_Black,Formal,Black,unisex,night,3561
Jacket_190_Green,Wedding,Green,unisex,morning,1267
Dress_770_Pink,Party,Pink,male,morning,7994
Skirt_663_White,Party,White,unisex,morning,4756
Dress_852_Black,Formal,Black,male,noon,7358
Jeans_393_Yellow,Formal,Yellow,female,noon,3563
T-shirt_743_Black,Formal,Black,female,noon,1167
Pants_672_White,Formal,White,unisex,evening,8483
Blouse_101_Pink,Outdoor,Pink,unisex,night,3887
T-shirt_285_Red,Work,Red,unisex,noon,5503
Shirt_7_Yellow,Party,Yellow,female,evening,2758
Dress_554_White,Outdoor,White,unisex,noon,7742
