clothing_name,situation,color,gender,time,category,price
tops_2186_Blue,Work,Blue,unisex,evening,tops,5485
blouse_2573_Green,Party,Green,female,morning,blouse,4844
shoes_4181_Pink,Wedding,Pink,male,noon,shoes,7929
tops_9736_Purple,Formal,Purple,female,noon,tops,1859
shoes_5415_Blue,Wedding,Blue,male,noon,shoes,8784
tops_8703_Green,Casual,Green,female,noon,tops,9864
hodie_4979_White,Formal,White,male,night,hodie,3138
sport_6321_Yellow,Party,Yellow,unisex,morning,sport,1393
hodie_6330_Red,Casual,Red,female,morning,hodie,7299
shorts_195_Blue,Work,Blue,male,morning,shorts,8938
waistcoat_4825_Yellow,Wedding,Yellow,male,night,waistcoat,6565
sport_8798_Yellow,Casual,Yellow,female,morning,sport,9898
hodie_2239_Yellow,Party,Yellow,male,morning,hodie,7322
tousers_7606_White,Wedding,White,unisex,morning,tousers,4242
suit_8072_Green,Outdoor,Green,unisex,evening,suit,4472
hodie_4624_Yellow,Outdoor,Yellow,female,noon,hodie,8686
tie_8809_Red,Formal,Red,male,noon,tie,2279
dress_6726_Green,Party,Green,male,morning,dress,8412
waistcoat_8374_Pink,Party,Pink,unisex,morning,waistcoat,4906
blouse_2089_White,Work,White,female,noon,blouse,6296
coat_8496_Green,Outdoor,Green,female,morning,coat,4375
waistcoat_5883_Yellow,Formal,Yellow,unisex,evening,waistcoat,6351
shirt_595_Black,Formal,Black,female,noon,shirt,2904
waistcoat_5140_Black,Wedding,Black,female,night,waistcoat,8721
dress_802_Green,Casual,Green,male,evening,dress,4531
shirt_1488_White,Casual,White,female,evening,shirt,3696
tousers_4376_Pink,Party,Pink,female,night,tousers,6577
shorts_2497_Blue,Party,Blue,unisex,morning,shorts,8281
shoes_114_Blue,Wedding,Blue,unisex,night,shoes,6376
shirt_9590_Blue,Formal,Blue,male,noon,shirt,1212
blouse_6335_Pink,Casual,Pink,unisex,morning,blouse,2392
dress_2792_Green,Outdoor,Green,male,evening,dress,7206
suit_9758_Purple,Work,Purple,male,evening,suit,9354
sport_4014_White,Work,White,unisex,night,sport,9126
suit_7210_Purple,Casual,Purple,unisex,noon,suit,4187
jeans_5115_Red,Formal,Red,female,noon,jeans,5744
jacket_6367_Red,Outdoor,Red,unisex,evening,jacket,3440
sport_6760_Yellow,Wedding,Yellow,female,morning,sport,7434
shoes_5335_Green,Casual,Green,female,morning,shoes,6353
jacket_4312_White,Casual,White,unisex,noon,jacket,6878
t-shirt_7622_White,Work,White,unisex,morning,t-shirt,5575
shorts_5581_White,Wedding,White,male,evening,shorts,8414
tousers_7915_Pink,Work,Pink,unisex,morning,tousers,2212
coat_2378_Purple,Casual,Purple,male,noon,coat,6468
jacket_9370_Black,Work,Black,female,evening,jacket,9602
coat_2366_Purple,Formal,Purple,male,morning,coat,6796
suit_4053_Blue,Work,Blue,female,night,suit,2609
jacket_7522_Black,Outdoor,Black,female,noon,jacket,9480
hodie_4049_Yellow,Party,Yellow,female,night,hodie,5077
shoes_9227_Blue,Wedding,Blue,female,noon,shoes,6026
coat_3753_Blue,Party,Blue,male,noon,coat,8829
suit_8732_Pink,Casual,Pink,unisex,morning,suit,7160
shorts_2932_Blue,Formal,Blue,female,night,shorts,6588
skirt_8503_Red,Casual,Red,unisex,night,skirt,7287
sport_5887_Blue,Formal,Blue,female,morning,sport,6065
tousers_862_Yellow,Party,Yellow,male,evening,tousers,6552
skirt_8899_Red,Outdoor,Red,male,evening,skirt,2635
t-shirt_365_Black,Work,Black,male,morning,t-shirt,8783
t-shirt_6511_Blue,Formal,Blue,male,evening,t-shirt,9736
shoes_432_Pink,Party,Pink,female,noon,shoes,3466
tousers_5427_Yellow,Formal,Yellow,unisex,night,tousers,6894
shoes_3225_Red,Work,Red,male,night,shoes,6678
jacket_6826_White,Wedding,White,unisex,night,jacket,8086
waistcoat_2428_Black,Work,Black,female,noon,waistcoat,4979
coat_1819_Black,Casual,Black,male,evening,coat,8674
coat_7102_Purple,Work,Purple,female,morning,coat,1307
coat_812_Red,Party,Red,male,evening,coat,3633
sport_7233_Green,Work,Green,male,noon,sport,9586
tousers_8386_Purple,Wedding,Purple,female,morning,tousers,7513
shirt_9984_Pink,Outdoor,Pink,female,evening,shirt,3647
suit_3766_Red,Outdoor,Red,male,morning,suit,4719
jeans_9909_Black,Casual,Black,female,noon,jeans,7968
shoes_7216_White,Wedding,White,male,night,shoes,2231
blouse_8902_Blue,Party,Blue,female,evening,blouse,4232
tousers_9204_Red,Wedding,Red,unisex,noon,tousers,1802
tie_2126_Yellow,Formal,Yellow,unisex,morning,tie,3865
shirt_7719_Pink,Work,Pink,female,night,shirt,7528
suit_5007_White,Work,White,female,morning,suit,7642
shirt_3393_Red,Casual,Red,female,evening,shirt,8259
dress_1252_White,Casual,White,unisex,evening,dress,7481
shirt_6670_Blue,Outdoor,Blue,female,night,shirt,8639
tops_7955_Yellow,Formal,Yellow,male,noon,tops,8032
shoes_4390_Green,Wedding,Green,female,evening,shoes,2134
jacket_6636_Yellow,Formal,Yellow,unisex,night,jacket,3732
blouse_4882_Blue,Wedding,Blue,unisex,morning,blouse,8040
dress_2109_Purple,Wedding,Purple,male,noon,dress,3829
coat_6310_Green,Work,Green,female,morning,coat,9917
blouse_6076_Yellow,Formal,Yellow,male,evening,blouse,8077
waistcoat_6749_Blue,Formal,Blue,male,noon,waistcoat,2540
coat_5337_Black,Outdoor,Black,female,morning,coat,5850
shoes_3483_Purple,Work,Purple,unisex,morning,shoes,8221
shorts_1135_White,Formal,White,female,noon,shorts,1192
jeans_2753_Red,Work,Red,unisex,noon,jeans,2486
skirt_8443_White,Party,White,female,noon,skirt,2530
dress_3762_White,Casual,White,female,noon,dress,5077
jacket_5690_Yellow,Wedding,Yellow,female,morning,jacket,8115
hodie_3943_Blue,Formal,Blue,male,morning,hodie,7539
dress_2598_Blue,Formal,Blue,male,morning,dress,9865
hodie_496_Blue,Party,Blue,female,noon,hodie,2945
hodie_2045_Pink,Outdoor,Pink,unisex,evening,hodie,7027
sport_2046_Pink,Wedding,Pink,male,noon,sport,8183
skirt_2442_Pink,Outdoor,Pink,female,evening,skirt,5538
tie_1903_White,Wedding,White,male,morning,tie,6109
skirt_306_White,Outdoor,White,male,night,skirt,9323
skirt_9142_Pink,Outdoor,Pink,male,evening,skirt,2274
t-shirt_4741_Green,Outdoor,Green,unisex,noon,t-shirt,5473
tousers_4336_Blue,Casual,Blue,male,night,tousers,4392
tops_7192_Blue,Work,Blue,unisex,night,tops,8839
hodie_3368_Green,Casual,Green,female,night,hodie,1142
jeans_7638_Black,Work,Black,male,morning,jeans,6093
hodie_8355_Green,Work,Green,male,night,hodie,8100
tousers_4670_Yellow,Party,Yellow,unisex,noon,tousers,6862
waistcoat_2391_Black,Casual,Black,female,night,waistcoat,7284
hodie_3217_Green,Formal,Green,male,morning,hodie,7744
coat_2122_Yellow,Outdoor,Yellow,female,night,coat,4058
jeans_8471_Yellow,Party,Yellow,male,night,jeans,5831
jacket_7536_Green,Outdoor,Green,female,evening,jacket,8624
hodie_7324_White,Work,White,male,evening,hodie,6854
hodie_4369_White,Formal,White,female,noon,hodie,1282
hodie_9679_Purple,Party,Purple,unisex,evening,hodie,6049
jeans_1570_Red,Work,Red,male,night,jeans,3797
t-shirt_2028_Black,Wedding,Black,male,night,t-shirt,4385
suit_2920_Red,Outdoor,Red,unisex,evening,suit,9524
suit_1163_Blue,Wedding,Blue,female,night,suit,7287
blouse_8989_Green,Outdoor,Green,male,night,blouse,4313
coat_1986_Black,Work,Black,unisex,noon,coat,7562
coat_8048_Black,Outdoor,Black,male,evening,coat,5260
tousers_6627_Green,Work,Green,male,evening,tousers,3268
tops_4086_White,Work,White,male,night,tops,6997
tops_6511_Purple,Party,Purple,male,morning,tops,7433
waistcoat_3358_Pink,Party,Pink,male,morning,waistcoat,1286
shirt_7730_Purple,Work,Purple,female,morning,shirt,6501
shoes_210_Yellow,Work,Yellow,female,noon,shoes,7671
dress_9213_White,Formal,White,female,noon,dress,4422
suit_3984_White,Work,White,male,noon,suit,4122
shoes_2821_Black,Outdoor,Black,female,morning,shoes,1555
shorts_9201_Yellow,Party,Yellow,male,evening,shorts,7589
jeans_4628_Blue,Outdoor,Blue,female,night,jeans,9599
suit_2514_Green,Casual,Green,male,morning,suit,6006
jeans_2516_White,Outdoor,White,unisex,night,jeans,9474
skirt_4514_Purple,Wedding,Purple,female,morning,skirt,9958
sport_1985_Black,Party,Black,female,night,sport,4901
tie_6635_Blue,Wedding,Blue,unisex,night,tie,1597
tie_9421_Red,Formal,Red,male,noon,tie,7824
shorts_462_Black,Wedding,Black,male,noon,shorts,2043
tie_8642_Purple,Party,Purple,unisex,morning,tie,5036
shoes_412_White,Casual,White,unisex,night,shoes,1614
shorts_5736_Yellow,Formal,Yellow,unisex,evening,shorts,2157
tops_9123_Pink,Wedding,Pink,female,morning,tops,7771
tops_4465_Pink,Work,Pink,male,morning,tops,1782
tops_8971_Black,Formal,Black,unisex,evening,tops,7240
shorts_2138_Green,Party,Green,female,morning,shorts,8818
jeans_9745_Green,Casual,Green,male,night,jeans,1912
tousers_4411_Purple,Formal,Purple,male,morning,tousers,4743
waistcoat_8829_Red,Formal,Red,female,night,waistcoat,9155
shirt_1272_Purple,Formal,Purple,male,evening,shirt,7369
jeans_1440_Green,Formal,Green,female,night,jeans,3403
blouse_8953_Purple,Casual,Purple,male,morning,blouse,8197
tops_1290_Red,Outdoor,Red,male,evening,tops,8292
t-shirt_7269_Black,Outdoor,Black,unisex,morning,t-shirt,7273
jacket_3041_Green,Formal,Green,male,night,jacket,6450
coat_1240_Black,Formal,Black,male,morning,coat,7281
dress_8136_White,Outdoor,White,unisex,night,dress,1225
dress_9795_Black,Casual,Black,female,evening,dress,6782
t-shirt_2134_Pink,Formal,Pink,male,noon,t-shirt,8738
jeans_6233_Red,Wedding,Red,female,morning,jeans,1000
hodie_2743_Pink,Casual,Pink,unisex,noon,hodie,8739
shorts_2212_Pink,Outdoor,Pink,male,morning,shorts,7053
waistcoat_3584_Yellow,Party,Yellow,unisex,evening,waistcoat,6539
blouse_9663_White,Party,White,male,night,blouse,4653
skirt_3484_Green,Formal,Green,male,evening,skirt,8765
shoes_3396_White,Formal,White,female,morning,shoes,2993
coat_7181_Pink,Formal,Pink,female,evening,coat,6852
waistcoat_5401_Purple,Casual,Purple,female,noon,waistcoat,9487
jacket_8606_Black,Outdoor,Black,female,noon,jacket,2330
coat_7775_White,Outdoor,White,unisex,noon,coat,6764
suit_2399_Black,Wedding,Black,unisex,evening,suit,3641
shoes_2397_Blue,Formal,Blue,male,night,shoes,3942
skirt_7883_Pink,Casual,Pink,unisex,night,skirt,3314
sport_803_Red,Formal,Red,male,evening,sport,1926
sport_3293_Pink,Outdoor,Pink,unisex,noon,sport,2812
tie_4710_Pink,Wedding,Pink,unisex,night,tie,3304
suit_4920_Yellow,Formal,Yellow,female,evening,suit,7817
skirt_9458_Yellow,Party,Yellow,female,morning,skirt,1084
skirt_6577_Blue,Casual,Blue,male,morning,skirt,4743
suit_491_White,Wedding,White,male,noon,suit,8985
shorts_6736_Pink,Wedding,Pink,unisex,evening,shorts,2505
suit_5174_Red,Outdoor,Red,female,night,suit,6815
t-shirt_8005_Green,Casual,Green,unisex,night,t-shirt,2237
sport_7038_Purple,Work,Purple,unisex,evening,sport,5072
waistcoat_9411_Green,Work,Green,unisex,night,waistcoat,3434
suit_6212_Red,Casual,Red,female,night,suit,9621
skirt_2588_Black,Formal,Black,unisex,morning,skirt,6897
dress_595_Black,Party,Black,unisex,evening,dress,1926
jacket_6884_Pink,Casual,Pink,unisex,night,jacket,9652
suit_9995_Green,Work,Green,male,evening,suit,6892
sport_923_Black,Work,Black,female,morning,sport,8880
blouse_4680_Purple,Outdoor,Purple,unisex,night,blouse,9322
t-shirt_1384_Blue,Party,Blue,male,evening,t-shirt,7188
tops_7454_Black,Work,Black,male,evening,tops,9476
t-shirt_6294_Red,Work,Red,female,noon,t-shirt,5831
shirt_8793_Red,Formal,Red,unisex,night,shirt,5685
dress_6582_Purple,Work,Purple,unisex,night,dress,9228
tie_5680_Blue,Casual,Blue,female,night,tie,7237
dress_909_Pink,Outdoor,Pink,male,morning,dress,6892
coat_8246_White,Casual,White,male,morning,coat,4975
tops_550_Pink,Formal,Pink,male,noon,tops,4552
dress_4271_Yellow,Work,Yellow,male,evening,dress,7859
blouse_2794_White,Casual,White,female,night,blouse,9347
shorts_2380_Purple,Formal,Purple,female,morning,shorts,3642
hodie_2530_Black,Party,Black,unisex,noon,hodie,6963
jeans_3815_Green,Formal,Green,male,morning,jeans,3685
dress_233_Yellow,Party,Yellow,female,night,dress,5504
coat_7515_White,Outdoor,White,female,noon,coat,9418
hodie_9351_Purple,Formal,Purple,female,night,hodie,6901
suit_5700_Red,Formal,Red,male,noon,suit,5235
jacket_3115_White,Casual,White,unisex,morning,jacket,8435
sport_7324_Red,Outdoor,Red,female,night,sport,2010
tops_2810_Green,Casual,Green,female,morning,tops,7316
tops_6666_Black,Work,Black,female,evening,tops,8401
dress_2262_Green,Formal,Green,male,evening,dress,5587
hodie_9198_Black,Party,Black,unisex,noon,hodie,6004
skirt_9928_Red,Casual,Red,male,evening,skirt,8885
tie_796_White,Casual,White,unisex,night,tie,5793
shirt_3758_Yellow,Formal,Yellow,unisex,morning,shirt,5729
shorts_2082_Yellow,Work,Yellow,female,morning,shorts,9474
tousers_3777_Blue,Party,Blue,unisex,night,tousers,9001
shoes_3486_White,Outdoor,White,unisex,noon,shoes,5182
waistcoat_5700_Yellow,Casual,Yellow,female,noon,waistcoat,3654
shorts_8641_Yellow,Casual,Yellow,unisex,evening,shorts,3020
tie_2143_Pink,Wedding,Pink,unisex,evening,tie,5280
blouse_6032_Blue,Formal,Blue,female,morning,blouse,1853
tops_3742_Red,Work,Red,unisex,evening,tops,7267
shorts_612_Pink,Wedding,Pink,unisex,night,shorts,1743
blouse_7479_Green,Outdoor,Green,female,night,blouse,9204
shirt_124_Blue,Wedding,Blue,male,night,shirt,8537
skirt_7224_Pink,Party,Pink,unisex,night,skirt,5572
tousers_5240_Yellow,Outdoor,Yellow,male,noon,tousers,3057
tousers_772_Yellow,Casual,Yellow,male,night,tousers,6273
skirt_172_Pink,Casual,Pink,unisex,evening,skirt,1693
t-shirt_4084_White,Outdoor,White,unisex,night,t-shirt,4994
jacket_4600_Purple,Wedding,Purple,male,noon,jacket,4293
tops_5145_Green,Wedding,Green,unisex,noon,tops,2286
dress_940_Blue,Formal,Blue,male,evening,dress,5568
hodie_9693_Pink,Party,Pink,female,noon,hodie,8535
tie_4921_Green,Party,Green,female,night,tie,7268
shorts_8266_White,Casual,White,male,noon,shorts,7780
shorts_2278_Blue,Casual,Blue,female,evening,shorts,6283
tie_3036_Red,Formal,Red,unisex,night,tie,6577
skirt_1747_Purple,Party,Purple,male,night,skirt,7220
skirt_3661_White,Party,White,unisex,morning,skirt,7456
tie_6535_Blue,Work,Blue,female,evening,tie,8311
jacket_8235_Red,Outdoor,Red,female,evening,jacket,3922
hodie_1044_Pink,Outdoor,Pink,female,noon,hodie,5614
jeans_9562_White,Outdoor,White,male,morning,jeans,3007
dress_8390_Purple,Casual,Purple,female,night,dress,2334
waistcoat_1834_Black,Casual,Black,unisex,morning,waistcoat,5064
shorts_426_Green,Wedding,Green,male,night,shorts,1851
sport_174_Purple,Outdoor,Purple,male,noon,sport,4846
skirt_4681_Purple,Formal,Purple,male,evening,skirt,9166
shirt_3468_Green,Formal,Green,male,noon,shirt,9143
hodie_8009_White,Casual,White,male,morning,hodie,4697
waistcoat_7657_Pink,Wedding,Pink,female,night,waistcoat,3539
jacket_4197_Black,Wedding,Black,unisex,night,jacket,6969
sport_5920_Pink,Casual,Pink,unisex,morning,sport,4556
sport_3191_Black,Wedding,Black,female,morning,sport,1206
suit_1232_Blue,Wedding,Blue,male,evening,suit,2686
hodie_5577_White,Outdoor,White,male,night,hodie,3070
coat_7130_Yellow,Formal,Yellow,male,morning,coat,9449
suit_1261_Pink,Work,Pink,male,night,suit,5573
jeans_3062_Red,Casual,Red,male,morning,jeans,1901
coat_6198_Pink,Wedding,Pink,female,evening,coat,3116
shorts_3023_White,Wedding,White,female,morning,shorts,4612
skirt_7311_Black,Party,Black,unisex,night,skirt,2625
tousers_8087_Purple,Formal,Purple,male,noon,tousers,9807
jacket_3569_White,Party,White,male,noon,jacket,5008
